n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
1000,0,2,2,0.0050000000000000044,74.69519710540771
1000,1,2,2,0.007500000000000007,74.20786595344543
1000,2,2,2,0.004500000000000004,74.29342889785767
1000,0,3,2,0.003333333333333336,112.01732182502747
1000,1,3,2,0.00833333333333334,111.96105217933655
1000,2,3,2,0.0050000000000000044,112.0026171207428
1000,0,4,2,0.006000000000000005,148.72755002975464
1000,1,4,2,0.006750000000000006,148.8712010383606
1000,2,4,2,0.004250000000000004,144.68365502357483
1000,0,5,2,0.004400000000000004,178.58690690994263
1000,1,5,2,0.0050000000000000044,178.4596230983734
1000,2,5,2,0.005400000000000005,178.01061606407166
1000,0,6,2,0.00683333333333334,213.9251790046692
1000,1,6,2,0.005833333333333339,216.63715982437134
1000,2,6,2,0.0043333333333333375,218.2657768726349
1000,0,7,2,0.007714285714285721,256.61922574043274
1000,1,7,2,0.004285714285714289,256.5151689052582
1000,2,7,2,0.004857142857142861,254.66161513328552
1000,0,8,2,0.006500000000000006,291.56897711753845
1000,1,8,2,0.004625000000000004,291.88481426239014
1000,2,8,2,0.0061250000000000054,292.15382981300354
1000,0,9,2,0.006222222222222228,326.3163230419159
1000,1,9,2,0.0071111111111111175,329.71049904823303
1000,2,9,2,0.006333333333333339,329.5579628944397
1000,0,10,2,0.006000000000000005,364.30446910858154
1000,1,10,2,0.005700000000000005,364.84762692451477
1000,2,10,2,0.005700000000000005,363.2468111515045
